kommune,lambda_EOU,lambda_SOU,lambda_system
København,0.0244212584062476,-0.0503484812812506,0.00274921156325132
Frederiksberg,0.0878022950945039,0.0204934102769043,-0.00274094879781415
Dragør,0.0667950509919317,0.0436522776332196,0.00177462055272579
Tårnby,0.0440764082387699,-0.000538000805188603,0.00160970860246947
Albertslund,0.0621352935883243,0.0134534287183438,5.3279723378146e-06
Ballerup,0.0635465021498704,0.0254636194686038,0.000511820731625812
Brøndby,0.0850655306508483,0.0360646729658749,-0.00223020382590031
Gentofte,0.0348259739468794,-0.0409208657257501,0.00127427128620763
Gladsaxe,0.0458587406506785,0.00784087685099674,-0.00081361158988723
Glostrup,0.0686566945991464,0.0425517052613563,-0.00167381424249774
Herlev,0.058553000880368,0.0114564631508898,0.00171606899034399
Hvidovre,0.0407497382760849,-0.0187956627596078,0.00300364709587743
Høje-Taastrup,0.0718371921838471,0.0289913027176125,-0.0016058462893769
Ishøj,0.0862270560762839,0.0583547125656423,-0.00354129433788445
Lyngby-Taarbæk,0.0407969545899958,-0.010731947603322,0.00160133062851931
Rødovre,0.0420274908817407,-0.0078336613536719,0.002850392561258
Vallensbæk,0.0571665581171261,0.0419379666605302,0.0032706389823709
Allerød,0.0734548945041548,0.0412408685802157,-0.00219245789648858
Egedal,0.0664636423710658,0.0359759688215621,-0.00177915349691786
Fredensborg,0.0642583806014533,0.0284793894487847,0.00179027938699009
Frederikssund,0.066082782184436,0.0613400717097539,-2.35576388231659e-06
Furesø,0.055791670231077,0.0115101252302976,0.000213985272042785
Gribskov,0.0808020354798396,0.0666331920024762,0.00056059003418982
Halsnæs,0.0798982240595818,0.0669143093074954,0.002232570536812
Helsingør,0.0598204270714574,0.0383942469982095,0.00196792190796842
Hillerød,0.0837303003018822,0.0383984847918397,-0.00307649570336191
Hørsholm,0.0656136362308463,0.0277899672689132,0.000998514483096686
Rudersdal,0.0451495950766203,0.0108378151117134,0.00079990226836021
Bornholm,0.109280104397437,0.0657950945520233,0.00942808236372241
Greve,0.0610725148160823,0.0171251450780019,-4.03463156311616e-06
Køge,0.0629189699636843,0.0290918644112006,-0.00192710832574693
Lejre,0.116884437041478,0.10684086280796,-0.000984485889774985
Roskilde,0.0636902119604592,0.0366466017965066,-0.00177172760611613
Solrød,0.0729087486437982,0.0292009982614245,0.00120727671527957
Faxe,0.108329703885509,0.105042038813734,-0.000121077685494515
Guldborgsund,0.117736242681874,0.114913229367448,-0.000446125673915284
Holbæk,0.0821953341320688,0.0694947821144331,-0.000575515251151427
Kalundborg,0.0947155309626447,0.103689823624467,-0.00342911651501115
Lolland,0.336875040149393,0.318463762108405,0.00911557417629647
Næstved,0.0854688018662791,0.0761769979794602,-0.00224216460988386
Odsherred,0.116460229447342,0.126301790311044,0.00109203626142819
Ringsted,0.105113272005654,0.107065811058181,-0.00496455486755495
Slagelse,0.0975590383082775,0.0939441806655564,-0.00186765123513229
Sorø,0.150581734824218,0.18237369235866,-0.00210039979697359
Stevns,0.116446245397908,0.12774661897529,-0.00291440468310958
Vordingborg,0.105362162227546,0.118270931659887,0.000608295898374163
Assens,0.142014186581177,0.147201136385982,-0.00520680596246613
Faaborg-Midtfyn,0.15703743276183,0.155112228283776,-0.0052595866243607
Kerteminde,0.198504400365764,0.245486424347423,-0.00441007571090016
Langeland,0.316156836317855,0.435926066426706,0.00768344036350418
Middelfart,0.138174228395127,0.165092532337199,-0.00690618440270564
Nordfyns,0.156345662842329,0.173136571850545,-0.00297481479522496
Nyborg,0.129409890734978,0.152104709888218,-0.00468494442955831
Odense,0.0450697963010283,0.0115894196363111,-0.000129108132040963
Svendborg,0.0749208053369653,0.084395905445892,-0.00150025845596743
Ærø,1.80935610430456,1.80115897696522,0.0145936898706496
Billund,0.272432079376705,0.309632187589234,0.00292943638458403
Esbjerg,0.0706823143817821,0.0436859275443175,-0.00325394429045807
Fanø,0.381793716447179,0.456741568731548,-0.00401110258500228
Fredericia,0.115879919706424,0.101273901759202,-0.00565575759836425
Haderslev,0.170263576147031,0.186464121786635,-0.00576143079236979
Kolding,0.0914318244250087,0.070277333847459,-0.00535785377981329
Sønderborg,0.187186083566529,0.221071890490087,-0.00224865479048907
Tønder,0.450605037803245,0.526832930849709,0.00146477033555709
Varde,0.124870121024599,0.142243884372545,-0.00437767262969095
Vejen,0.174044170529399,0.239181298781932,0.00110898453091295
Vejle,0.0826002499620114,0.0637229881614072,-0.00422465266797561
Aabenraa,0.144625735172061,0.174736179305175,-0.00306789723741127
Favrskov,0.0809725119435015,0.0751918113387582,-0.00338088013488662
Hedensted,0.0945879507463038,0.0983144647490704,0.000225812579661802
Horsens,0.0647637798873451,0.0422867101251252,-0.00314979899399665
Norddjurs,0.180648376722628,0.194266524500914,-0.00262958390815359
Odder,0.120564807837809,0.118912314089732,-0.0021140899425748
Randers,0.0847283856996245,0.0756034882356393,-0.00333198877705753
Samsø,0.574299716561768,0.785116978986238,-0.00396120379580835
Silkeborg,0.0628574532483159,0.0355512520780203,-0.00200356053724238
Skanderborg,0.0615277343545922,0.0338266765655936,-0.00173480889384714
Syddjurs,0.0727173139587296,0.0681684984261277,0.00508616130845866
Århus,0.0310220840118252,-0.0237502173550849,0.00119272089964554
Herning,0.0831813623726247,0.0662076750557253,3.87434193163174e-05
Holstebro,0.128898021879209,0.135553551612982,-0.00556575133281856
Ikast-Brande,0.0842543724493193,0.100820247057861,0.00234940391359587
Lemvig,0.465130999296973,0.553817888782906,-0.00260025513125609
Ringkøbing-Skjern,0.173154466601814,0.190052113499011,-0.00274324039943699
Skive,0.252766128749135,0.324043179572993,-0.00311105051741314
Struer,0.458893993719339,0.529575758698413,0.00099358981373944
Viborg,0.0727393423360542,0.0729400708509426,-0.00381125905921088
Brønderslev,0.207478848617843,0.221623562064681,-0.00652810510019185
Frederikshavn,0.125266374427982,0.171497243870197,0.00602397314098841
Hjørring,0.11425371063501,0.135882586677593,-0.00193233629952707
Jammerbugt,0.13119616579544,0.153392156880261,0.000760636795283514
Læsø,0.401295679351315,0.413310009377621,0.00596686897897288
Mariagerfjord,0.174332341913822,0.227184323025308,-0.00465717211119166
Morsø,0.431425257295867,0.557100364810452,0.00218208760238003
Rebild,0.0925809481324489,0.101188628451249,0.0043862561245178
Thisted,0.166681016132873,0.197032921707817,-0.000619710141867661
Vesthimmerlands,0.176234475815582,0.203915710653479,-0.00231232037257554
Aalborg,0.0522388929536146,0.0207735854969283,-0.00424308219663673
