kommune,err_EOU,err_SOU,err_system
Aalborg,0.0343761147728782,0.0480433510817842,0.0723615933743273
Ringkøbing-Skjern,0.0365605521258408,0.0478451658524956,0.082693370922359
Esbjerg,0.0379711608794842,0.051069513463304,0.065546295965306
Varde,0.0381017039305696,0.064920855477748,0.083776576012536
Aabenraa,0.0381499863781266,0.0635402226026493,0.0805956074743922
Viborg,0.0386967230104426,0.056082866253713,0.0564401292024579
Hjørring,0.0402392587945199,0.0620102062944847,0.0462166275299662
Herning,0.0442736458349238,0.0613958724340263,0.108636204015928
Holstebro,0.0484262309680952,0.0719207725308663,0.14620204786635
Sønderborg,0.0486380103281778,0.0762893970224141,0.19318287779558
Ikast-Brande,0.0505331217790128,0.0869483740304755,0.121587482591998
Ærø,0.0558250108389045,0.0584118543133469,1.12097304245664
Kolding,0.056820369222776,0.0675951097200836,0.153512530892774
Haderslev,0.0577613939602013,0.0803490166620769,0.157028273181211
Randers,0.0586160322339463,0.076295584890909,0.136926401472437
Skive,0.0598090363660472,0.0805014844801739,0.165071506106701
Vejen,0.0612629090772683,0.101782495183909,0.187765928374303
Thisted,0.0644966502473331,0.0988086600202852,0.197261127248853
Fredericia,0.06817190319545,0.0957203974978475,0.209248770807957
Nyborg,0.0689855608913456,0.11111478952834,0.249469257974346
Assens,0.0702793739786771,0.0906832348751728,0.223577231482657
Skanderborg,0.0719265850349412,0.0897532103086371,0.177418796056636
Tønder,0.0720321728178704,0.0807727828450525,0.322556161846596
Vejle,0.0735499436762679,0.0993135516110518,0.176315001381521
Faaborg-Midtfyn,0.0736567297583432,0.0955821252617006,0.184812207893641
Jammerbugt,0.0745056981918198,0.137291802302972,0.284183795458887
Favrskov,0.0755594951800556,0.129443129248467,0.23828837420224
Vesthimmerlands,0.0770976343900284,0.113891191593658,0.471484131173644
Odense,0.078272792752336,0.10149135553106,0.172794524624599
Billund,0.0786525149426916,0.0988245299689625,0.444983719718822
Nordfyns,0.0808158761004858,0.110764256238893,0.260477213532837
Frederikshavn,0.0831578568121803,0.146749468536226,0.291193380998894
Svendborg,0.0880393999911809,0.12320618206492,0.171069140955694
Norddjurs,0.0883397804150894,0.11011652325198,0.258787716640457
Mariagerfjord,0.0884633981831184,0.154645102458103,0.379187070512085
Hedensted,0.0898991777243438,0.109894255875531,0.252955167981775
Vallensbæk,0.10234048123073,0.13265353434055,0.203416403167206
Bornholm,0.102655761741738,0.249425427037629,0.256824876723332
Horsens,0.103333962052377,0.109830261599924,0.208277567387209
Lemvig,0.108299161636423,0.123458688594408,1.2585126623963
Kerteminde,0.110446259021945,0.161760922243856,0.944379269427793
Silkeborg,0.111962825694955,0.124746535504085,0.253679677611735
Brønderslev,0.112156934122506,0.151953708213574,0.65691102314853
Morsø,0.112826149572187,0.125749213732491,0.595767032230874
Middelfart,0.116568473929137,0.193431120314027,0.466440007849261
Rebild,0.125068239088073,0.237487647295867,0.391967235293795
Struer,0.128430505486713,0.1442245438635,1.58735655203311
Guldborgsund,0.137275512656225,0.146065381690499,0.290400026037512
Langeland,0.138670586331885,0.157092672188368,0.596310320952646
